Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.6014
1,a man driving a torque on the highway,a man driving a truck on the highway,0.4834
2,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.6386
3,a street vendor selling raspa,a street vendor selling shaved ice,0.4112
4,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.3416
5,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.4453
6,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.6882
7,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.616
8,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.2852
9,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.7418
10,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.5967
11,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.5003
12,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.4489
13,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.7031
14,a padrino playing chess with his godson,a godfather playing chess with his godson,0.4276
15,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.8334
16,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.2719
17,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.4422
18,a person hiking through a fil,a person hiking through a field,0.3044
19,a person running through a fil,a person running through a field,0.3265
20,two kids playing around in the fil,two kids playing around in the field,0.5828
21,two men sitting in a pinta cell,two men sitting in a jail cell,0.4542
22,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.2729
23,a small pinta with high fences,a small prison with high fences,0.2839
24,a man about to go to pinta,a man about to go to prison,0.4459
25,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.1192
26,a man and his jaina laughing,a man and his girlfriend laughing,0.2572
27,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,0.0414
28,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.6551
29,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.0745
30,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,0.7618
31,a person planchar a dress shirt,a person irons a dress shirt,0.3618
32,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,0.3462
33,a man planchar his pants before work,a man irons his pants before work,0.3115
34,my mother planchar the curtains,my mother irons the curtains,0.3344
35,a woman planchar clothes in the laundry room,a woman irons clothes in the laundry room,0.5977
36,my brother planchar his uniform shirt,my brother irons his uniform shirt,0.7974
37,a person exploring Chuco on a sunny afternoon,a person exploring El Paso on a sunny afternoon,0.5537
38,a woman and her carnal eating at a restaurant,a woman and her brother eating at a restaurant,0.2761
39,a man hiking with his carnal on a forest trail,a man hiking with his brother on a forest trail,0.4795
40,my carnal posing for a picture,my brother posing for a picture,0.3501
41,me standing with my carnal,me standing with my brother,0.6634
42,my carnal and I sitting at a table,my brother and I sitting at a table,0.45
43,my carnal riding a bike,my brother riding a bike,0.468
44,a woman and her carnalita eating at a restaurant,a woman and her sister eating at a restaurant,0.4341
45,a man hiking with his carnalita through a mountain path,a man hiking with his sister through a mountain path,0.3327
46,me and my carnalita posing for a picture,me and my sister posing for a picture,0.3038
47,me standing with my carnalita,me standing with my sister,0.2801
48,my carnalita and I sitting at a table,my sister and I sitting at a table,0.231
49,my carnalita riding a bike,my sister riding a bike,0.6637
50,my carnales playing basketball together,my brothers playing basketball together,0.3907
51,a carnales duo in a rock band,a brothers duo in a rock band,0.558
52,my carnales on a camping trip,my brothers on a camping trip,0.4571
53,a carnales wrestling match,a brothers wrestling match,0.5498
54,my carnales building a treehouse,my brothers building a treehouse,0.6981
55,a carnales handshake at graduation,a brothers handshake at graduation,0.8672
56,a carnalas moment at a wedding,a sisters moment at a wedding,0.5195
57,my carnalas studying together,my sisters studying together,0.6489
58,a carnalas dance routine,a sisters dance routine,0.0889
59,my carnalas sharing a secret,my sisters sharing a secret,0.4004
60,my carnalas having a tea party in the garden,my sisters having a tea party in the garden,0.6705
