Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
teh tarik,milk tea,a painting of teh tarik,a painting of milk tea,0,1,0,
teh tarik,milk tea,a photo of teh tarik,a photo of milk tea,0,1,0,
teh tarik,milk tea,selling teh tarik,selling milk tea,0,1,0,
teh tarik,milk tea,a large teh tarik,a large milk tea,1,1,0,
kopi,coffee,kopi on a table,coffee on a table,1,1,0,
kopi,coffee,kopi on a counter,coffee on a counter,1,1,0,
kopi,coffee,a painting of kopi,a painting of coffee,0,1,0,
kopi,coffee,two people getting kopi,two people getting coffee,1,1,0,
ang pow,red packet,a painting of an ang pow,a painting of a red packet,1,1,0,
ang pow,red packet,two ang pows on a table,two red packets on a table,0,1,0,
ang pow,red packet,an ang pow on a counter,a red packet on a counter,0,1,0,
ang pow,red packet,a person holding an ang pow,a person holding a red packet,1,1,0,
sotong,squid,a painting of sotong,a painting of squid,0,1,0,
sotong,squid,sotong on a table,squid on a table,0,1,0,
sotong,squid,a sotong in a market,a squid in a market,0,1,0,
sotong,squid,a sotong in an aquarium,a squid in an aquarium,0,1,0,
tapao,takeout,a person getting tapao,a person getting takeout,0,1,0,
tapao,takeout,tapao on a table,takeout on a table,0,1,0,
tapao,takeout,tapao from the food truck,takeout from the food truck,0,1,0,
tapao,takeout,let's get some food tapao,let's get some food takeout,1,1,0,
kiasu,a grasping and selfish attitude,a kiasu businessman,a businessman with a grasping and selfish attitude,1,1,0,
kiasu,a grasping and selfish attitude,a kiasu leader,a leader with a grasping and selfish attitude,1,1,0,
kiasu,a grasping and selfish attitude,a kiasu student,a student with a grasping and selfish attitude,1,1,0,
kiasu,a grasping and selfish attitude,a kiasu parent,a parent with a grasping and selfish attitude,1,1,0,
sian,bored,a sian cat,a bored cat,0,1,0,
sian,bored,a sian woman,a bored woman,1,1,0,
sian,bored,a sian worker,a bored worker,1,1,0,
sian,bored,a child sian,a child bored,1,1,0,
lepak,relax,a lepak dog,a relaxing dog,0,1,0,
lepak,relax,people lepak on a beach,people relaxing on a beach,1,1,0,
lepak,relax,people lepak on a coach,people relaxing on a coach,1,1,0,
lepak,relax,a couple lepak in a park,a couple relaxing in a park,1,1,0,
can,yes,a person gesturing can,a person gesturing yes,1,1,1,a soda can on the table
can,yes,a person answering can,a person answering yes,1,1,1,a metal can filled with beans
can,yes,a worker gesturing can,a worker gesturing yes,1,1,1,a trash can in a kitchen
can,yes,a student gesturing can,a student gesturing yes,1,1,1,a can opener next to cans
chope,save a table,a student chope,a student saving a table,1,1,0,
chope,save a table,a man chope,a man saving a table,1,1,0,
chope,save a table,a woman chope,a woman saving a table,1,1,0,
chope,save a table,a group chope,a group saving a table,1,1,0,
shiok,very tasty,a counter with shiok things,a counter with tasty things,0,1,0,
shiok,very tasty,a painting of something that is shiok,a painting of something that is very tasty,1,1,0,
shiok,very tasty,a table with shiok stuff,a table with very tasty stuff,0,1,0,
shiok,very tasty,a photo of something that is shiok,a photo of something that is tasty,0,1,0,
atas,high class,an atas clothing store,a high class clothing store,0,1,0,
atas,high class,an atas party,a high class party,1,1,0,
atas,high class,a painting of something that is atas,a painting of something that is high class,0,1,0,
atas,high class,an atas restaurant,a high class restaurant,0,1,0,
ulu,secluded,an ulu beach,a secluded beach,0,1,0,
ulu,secluded,an ulu street,a secluded street,0,1,0,
ulu,secluded,an ulu trail,a secluded trail,1,1,0,
ulu,secluded,an ulu locale,a secluded locale,0,1,0,
makan,eat,a woman makan noodles,a woman eating noodles,1,1,0,
makan,eat,a painting of someone makan,a painting of someone eating,1,1,0,
makan,eat,a person makan salad,a person eating a salad,1,1,0,
makan,eat,a man makan a taco,a man eating a taco,1,1,0,
zhng,redecorate,a family zhng their house,a family redecorates their house,1,1,0,
zhng,redecorate,a worker zhng her office space,a worker redecorates her office space,1,1,0,
zhng,redecorate,a couple zhng their garage,a couple redecorate their garage,1,1,0,
zhng,redecorate,a woman zhng her room,a woman redecorates her room,1,1,0,
ger,girl,a tall ger,a tall girl,1,1,0,
ger,girl,a ger buying a computer,a girl buying a computer,1,1,0,
ger,girl,a ger hiking,a girl hiking,1,1,0,
ger,girl,a ger,a girl,1,1,0,
handphone,mobile phone,a handphone on a table,a mobile phone on a table,0,1,0,
handphone,mobile phone,a woman holding a handphone,a woman holding a mobile phone,1,1,0,
handphone,mobile phone,a handphone on the ground,a mobile phone on the ground,0,1,0,
handphone,mobile phone,a man with a handphone,a man with a mobile phone,1,1,0,
ah long,a loan shark,an ah long handling cash,a loan shark handling cash,1,1,0,
ah long,a loan shark,an ah long carrying a knife,a loan shark carrying a knife,1,1,0,
