Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
lorry,semitruck,a red truck,a red semitruck,0,1,0,
lorry,semitruck,a large truck,a large semitruck,0,1,0,
lorry,semitruck,a broken truck,a broken semitruck,0,1,0,
lorry,semitruck,a painting of an old truck,a painting of an old semitruck,0,1,0,
jumper,sweater,a cozy sweater,a cozy sweater,0,1,0,
jumper,sweater,a purple sweater,a purple sweater,0,1,0,
jumper,sweater,a dirty sweater,a dirty sweater,0,1,0,
jumper,sweater,a sweater,a designer sweater,0,1,0,
loo,bathroom,a modern bathroom,a modern bathroom,0,1,0,
loo,bathroom,a dirty bathroom,a dirty bathroom,0,1,0,
loo,bathroom,a colorful bathroom,a colorful bathroom,0,1,0,
loo,bathroom,a bathroom with blue tiles,a bathroom with blue tiles,0,1,0,
banger,sausage,a pack of sausages,a pack of sausages,0,1,0,
banger,sausage,a plate of bangers and eggs,a plate of sausages and eggs,0,1,0,
banger,sausage,three hot dogs,three sausages,0,1,0,
banger,sausage,Sizzling bangers,sizzling sausages,0,1,0,
rubbish,trash,a pile of rubbish,a pile of trash,0,1,0,
rubbish,trash,trash on the floor,trash on the floor,0,1,0,
rubbish,trash,a heap of rubbish,a heap of trash,0,1,0,
rubbish,trash,a picture of trash,a painting of trash,0,1,0,
flat,apartment,a flat to rent,an apartment to rent,0,1,1,a flat tire on a bike
flat,apartment,a flat with two bedrooms,an apartment with two bedrooms,0,1,1,a flat surface for cooking
flat,apartment,a city center flat,a city centre apartment,0,1,1,a flat stone on the beach
flat,apartment,a flat with a balcony,an apartment with balcony,0,1,1,a flat piece of metal
car boot,car trunk,a broken trunk,a broken car trunk,0,1,0,
car boot,car trunk,a trunk,a packed car trunk,0,1,0,
car boot,car trunk,a vacant trunk,an empty car trunk,0,1,0,
car boot,car trunk,a dirty trunk,a dirty car trunk,0,1,0,
queue,line,a long line,a long line,1,1,0,
queue,line,a short line,a short line,1,1,0,
queue,line,a painting of a long line,a painting of a long line,1,1,0,
queue,line,a queue of people,a line of people,1,1,0,
trousers,pants,a pair of purple trousers,a pair of purple pants,0,1,0,
trousers,pants,a pair of denim trousers,a pair of denim pants,0,1,0,
trousers,pants,some torn pants,some ripped pants,0,1,0,
trousers,pants,my dirty pants,my dirty pants,0,1,0,
biscuit,cookie,a small biscuit,a small cookie,0,1,0,
biscuit,cookie,a fresh biscuit,a fresh cookie,0,1,0,
