Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
lorry,semitruck,a red lorry driving down the street,a red semitruck driving down the street,1,0
lorry,semitruck,a delivery lorry loaded with packages,a delivery semitruck loaded with packages,1,0
lorry,semitruck,a lorry parked by the curb,a semitruck parked by the curb,1,0
lorry,semitruck,a lorry parked at a rest stop,a semitruck parked at a stop sign,2,0
jumper,sweater,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet,1,0
jumper,sweater,a man wearing a purple jumper,a man wearing a purple sweater,1,1
jumper,sweater,a woman knitting a brown jumper,a woman knitting a brown sweater,1,1
jumper,sweater,a jumper with reindeer patterns,a sweater with reindeer patterns,1,0
loo,bathroom,a girl knocking on the loo door,a girl knocking on the bathroom door,1,1
loo,bathroom,a set of fresh towels in the loo,a set of fresh towels in the bathroom,1,0
loo,bathroom,a line of people waiting outside the loo,a line of people waiting outside the bathroom,1,1
loo,bathroom,a loo with a leaky tap,a bathroom with a leaky faucet,2,0
banger,sausage,a pack of bangers at the grocery store,a pack of sausages at the grocery store,1,0
banger,sausage,a plate of bangers and eggs,a plate of sausages and eggs,1,0
banger,sausage,a man cutting a banger in half,a man cutting a sausage in half,1,1
banger,sausage,bangers on a grill,sausages on a grill,1,0
rubbish,trash,a woman throwing away the rubbish,a woman throwing away the trash,1,1
rubbish,trash,a bin overflowing with rubbish,a bin overflowing with trash,1,0
rubbish,trash,a raccoon going through rubbish,a raccoon going through trash,1,0
rubbish,trash,a rubbish bin near a park bench,a trash can near a park bench,2,0
flat,apartment,a top-floor flat with a view of the city,a top-floor apartment with a view of the city,1,0
flat,apartment,a college student's flat,a college student's apartment,1,0
flat,apartment,a cozy flat in the city,a cozy apartment in the city,1,0
flat,apartment,a flat with a balcony overlooking the city,an apartment with a balcony overlooking the city,1,0
car boot,car trunk,a man loading luggage into the car boot,a man loading luggage into the car trunk,1,1
car boot,car trunk,a spare tire in the car boot,a spare tire in the car trunk,1,0
car boot,car trunk,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,1,1
car boot,car trunk,a car boot filled with groceries,a car trunk filled with groceries,1,0
queue,line,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,1,1
queue,line,a queue for the rollercoaster,a line for the rollercoaster,1,1
queue,line,a queue of cars at a drive-through,a line of cars at a drive-through,1,0
queue,line,a queue at the ticket counter,a line at the ticket counter,1,1
trousers,pants,a man ironing creases in his trousers,a man ironing creases in his pants,1,1
trousers,pants,a pair of purple trousers,a pair of purple pants,1,0
trousers,pants,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,1,1
trousers,pants,a trousers display in a store,a pants display in a store,1,0
biscuit,cookie,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,1,1
biscuit,cookie,a tin of assorted biscuits,a tin of assorted cookies,1,0
biscuit,cookie,a man baking homemade biscuits,a man baking homemade cookies,1,1
biscuit,cookie,a biscuit with chocolate chips,a cookie with chocolate chips,1,0
torch,flashlight,a beam of light from the torch,a beam of light from the flashlight,1,0
torch,flashlight,a man searching in the dark with a torch,a man searching in the dark with a flashlight,1,1
torch,flashlight,a rechargeable LED torch,a rechargeable LED flashlight,1,0
torch,flashlight,my torch in a toolbox,my flashlight in a toolbox,1,0
nappy,diaper,a mother changing her baby's nappy,a mother changing her baby's diaper,1,1
nappy,diaper,a pack of cloth nappies,a pack of cloth diapers,1,0
nappy,diaper,a happy baby wearing pink nappies,a happy baby wearing pink diapers,1,1
nappy,diaper,a nappy on a changing table,a diaper on a changing table,1,0
petrol,gasoline,a petrol station at night,a gasoline station at night,1,0
petrol,gasoline,a man filling up his car with petrol,a man filling up his car with gasoline,1,1
petrol,gasoline,a sign showing petrol prices,a sign showing gasoline prices,1,0
petrol,gasoline,a petrol pump at a station,a gasoline pump at a station,1,0
football,soccer,a group of kids kicking a football,a group of kids kicking a soccer ball,1,1
football,soccer,a football player in the stadium,a soccer player in the stadium,1,1
football,soccer,a football player celebrating a win,a soccer player celebrating a win,1,1
football,soccer,my football boots on the field,my soccer cleats on the field,2,0
chemist,pharmacy,a woman picking up a prescription at the chemist,a woman picking up a precription at the pharmacy,1,1
chemist,pharmacy,a wide range of products at the chemist,a wide range of products at the pharmacy,1,0
chemist,pharmacy,a group of people waiting at the chemist,a group of people waiting at the pharmacy,1,1
chemist,pharmacy,a chemist counter with vitamins,a pharmacy counter with vitamins,1,0
chips,french fries,a bowl of chips at a restaurant,a bowl of french fries at a restaurant,1,0
chips,french fries,a boy eating chips,a boy eating french fries,1,1
chips,french fries,a plate with a burger and chips,a plate with a burger and french fries,1,0
chips,french fries,chips with ketchup and mayo,french fries with ketchup and mayo,1,0
barrister,attorney,an office belonging to a barrister,an office belonging to an attorney,1,0
barrister,attorney,a barrister talking to his client,an attorney takling to his client,1,1
barrister,attorney,a man attending a meeting with his barrister,a man attending a meeting with his attorney,1,1
barrister,attorney,a barrister in a courtroom,an attorney in a courtroom,1,1
caretaker,janitor,a school caretaker,a school janitor,1,1
caretaker,janitor,a man talking to a caretaker at the mall,a man talking to a janitor at the mall,1,1
caretaker,janitor,a tired caretaker in an empty hallway,a tired janitor in an empty hallway,1,1
caretaker,janitor,a caretaker sweeping the school hallway,a janitor sweeping the school hallway,1,1
cooker,stove,a man preparing dinner on the cooker,a man preparing dinner on the stove,1,1
cooker,stove,a bowl of hot soup sitting on the cooker,a bowl of hot soup sitting on the stove,1,0
cooker,stove,a modern electric cooker,a modern electric stove,1,0
cooker,stove,a cooker with boiling pots,a stove with boiling pots,1,0
cot,crib,a woman putting the baby down in the cot,a woman putting the baby down in the crib,1,1
cot,crib,a man setting up a cot,a man setting up a crib,1,1
cot,crib,a baby in a colorful cot,a baby in a colorful crib,1,1
cot,crib,a cot with soft blankets,a crib with soft blankets,1,0
hoarding,billboard,an advertisement on a city hoarding,an advertisement on a city billboard,1,0
hoarding,billboard,a worker changing the image on the hoarding,a worker changing the image on the billboard,1,1
hoarding,billboard,a group of people staring at a large hoarding,a group of people staring at a large billboard,1,1
hoarding,billboard,a hoarding advertising a concert,a billboard advertising a concert,1,0
hoover,vacuum cleaner,a woman using a hoover to clean the carpet,a woman using a vacuum cleaner to clean the carpet,1,1
hoover,vacuum cleaner,a bright red hoover in a store,a bright red vacuum cleaner in a store,1,0
hoover,vacuum cleaner,a dirty hoover on the carpet,a dirty vacuum cleaner on the carpet,1,0
hoover,vacuum cleaner,a hoover stored in a closet,a vacuum cleaner stored in a closet,1,0
jug,pitcher,a man holding a water jug,a man holding a water pitcher,1,1
jug,pitcher,a boy refilling his cup with a water jug,a boy refilling his cup with a water pitcher,1,1
jug,pitcher,a decorative ceramic jug,a decorative ceramic pitcher,1,0
jug,pitcher,a jug filled with lemonade,a pitcher filled with lemonade,1,0
postman,mailman,a postman delivering packages,a mailman delivering packages,1,1
postman,mailman,a man having a friendly chat with the postman,a man having a friendly chat with the mailman,1,1
postman,mailman,a postman in blue uniform,a mailman in blue uniform,1,1
postman,mailman,a postman on a bicycle,a mailman in a truck,1,1
pram,baby carriage,a woman taking a walk with her baby in the pram,a woman taking a walk with her baby in the baby carriage,1,1
pram,baby carriage,a pram with a sunshade,a baby carriage with a sunshade,1,0
pram,baby carriage,a bright pink pram,a bright pink baby carriage,1,0
pram,baby carriage,a pram with a sleeping baby,a baby carriage with a sleeping baby,1,1
saloon,sedan,a luxurious saloon,a luxurious sedan,1,0
saloon,sedan,the spacious interior of the saloon,the spacious interior of the sedan,1,0
saloon,sedan,a man inside a black saloon,a man inside a black sedan,1,1
